"","index","p","q","P","Q","AIC","BIC","RMSE"
"161","161","2","2","0","0",2244.05099832693,2272.70187230316,2.5701651075994
"162","162","2","2","0","1",2244.05099832693,2272.70187230316,2.5701651075994
"163","163","2","2","0","2",2244.05099832693,2272.70187230316,2.5701651075994
"164","164","2","2","0","3",2244.05099832693,2272.70187230316,2.5701651075994
"165","165","2","2","1","0",2244.05099832693,2272.70187230316,2.5701651075994
"166","166","2","2","1","1",2244.05099832693,2272.70187230316,2.5701651075994
"167","167","2","2","1","2",2244.05099832693,2272.70187230316,2.5701651075994
"168","168","2","2","1","3",2244.05099832693,2272.70187230316,2.5701651075994
"169","169","2","2","2","0",2244.05099832693,2272.70187230316,2.5701651075994
"170","170","2","2","2","1",2244.05099832693,2272.70187230316,2.5701651075994
"171","171","2","2","2","2",2244.05099832693,2272.70187230316,2.5701651075994
"172","172","2","2","2","3",2244.05099832693,2272.70187230316,2.5701651075994
"173","173","2","2","3","0",2244.05099832693,2272.70187230316,2.5701651075994
"174","174","2","2","3","1",2244.05099832693,2272.70187230316,2.5701651075994
"175","175","2","2","3","2",2244.05099832693,2272.70187230316,2.5701651075994
"176","176","2","2","3","3",2244.05099832693,2272.70187230316,2.5701651075994
"113","113","1","3","0","0",2264.02261483084,2292.67348880707,2.95616291912683
"114","114","1","3","0","1",2264.02261483084,2292.67348880707,2.95616291912683
"115","115","1","3","0","2",2264.02261483084,2292.67348880707,2.95616291912683
"116","116","1","3","0","3",2264.02261483084,2292.67348880707,2.95616291912683
"117","117","1","3","1","0",2264.02261483084,2292.67348880707,2.95616291912683
"118","118","1","3","1","1",2264.02261483084,2292.67348880707,2.95616291912683
"119","119","1","3","1","2",2264.02261483084,2292.67348880707,2.95616291912683
"120","120","1","3","1","3",2264.02261483084,2292.67348880707,2.95616291912683
"121","121","1","3","2","0",2264.02261483084,2292.67348880707,2.95616291912683
"122","122","1","3","2","1",2264.02261483084,2292.67348880707,2.95616291912683
"123","123","1","3","2","2",2264.02261483084,2292.67348880707,2.95616291912683
"124","124","1","3","2","3",2264.02261483084,2292.67348880707,2.95616291912683
"125","125","1","3","3","0",2264.02261483084,2292.67348880707,2.95616291912683
"126","126","1","3","3","1",2264.02261483084,2292.67348880707,2.95616291912683
"127","127","1","3","3","2",2264.02261483084,2292.67348880707,2.95616291912683
"128","128","1","3","3","3",2264.02261483084,2292.67348880707,2.95616291912683
"209","209","3","1","0","0",2372.40345739053,2401.05433136676,4.94647210562912
"210","210","3","1","0","1",2372.40345739053,2401.05433136676,4.94647210562912
"211","211","3","1","0","2",2372.40345739053,2401.05433136676,4.94647210562912
"212","212","3","1","0","3",2372.40345739053,2401.05433136676,4.94647210562912
"213","213","3","1","1","0",2372.40345739053,2401.05433136676,4.94647210562912
"214","214","3","1","1","1",2372.40345739053,2401.05433136676,4.94647210562912
"215","215","3","1","1","2",2372.40345739053,2401.05433136676,4.94647210562912
"216","216","3","1","1","3",2372.40345739053,2401.05433136676,4.94647210562912
"217","217","3","1","2","0",2372.40345739053,2401.05433136676,4.94647210562912
"218","218","3","1","2","1",2372.40345739053,2401.05433136676,4.94647210562912
"219","219","3","1","2","2",2372.40345739053,2401.05433136676,4.94647210562912
"220","220","3","1","2","3",2372.40345739053,2401.05433136676,4.94647210562912
