"","index","p","q","P","Q","AIC","BIC","RMSE"
"241",241,3,3,0,0,3272.64351706121,3312.75474062793,5.92733931031142
"242",242,3,3,0,1,3272.64351706121,3312.75474062793,5.92733931031142
"243",243,3,3,0,2,3272.64351706121,3312.75474062793,5.92733931031142
"244",244,3,3,0,3,3272.64351706121,3312.75474062793,5.92733931031142
"245",245,3,3,1,0,3272.64351706121,3312.75474062793,5.92733931031142
"246",246,3,3,1,1,3272.64351706121,3312.75474062793,5.92733931031142
"247",247,3,3,1,2,3272.64351706121,3312.75474062793,5.92733931031142
"248",248,3,3,1,3,3272.64351706121,3312.75474062793,5.92733931031142
"249",249,3,3,2,0,3272.64351706121,3312.75474062793,5.92733931031142
"250",250,3,3,2,1,3272.64351706121,3312.75474062793,5.92733931031142
"251",251,3,3,2,2,3272.64351706121,3312.75474062793,5.92733931031142
"252",252,3,3,2,3,3272.64351706121,3312.75474062793,5.92733931031142
"253",253,3,3,3,0,3272.64351706121,3312.75474062793,5.92733931031142
"254",254,3,3,3,1,3272.64351706121,3312.75474062793,5.92733931031142
"255",255,3,3,3,2,3272.64351706121,3312.75474062793,5.92733931031142
"256",256,3,3,3,3,3272.64351706121,3312.75474062793,5.92733931031142
"177",177,2,3,0,0,3274.52175465696,3308.90280342844,5.77052405174632
"178",178,2,3,0,1,3274.52175465696,3308.90280342844,5.77052405174632
"179",179,2,3,0,2,3274.52175465696,3308.90280342844,5.77052405174632
"180",180,2,3,0,3,3274.52175465696,3308.90280342844,5.77052405174632
"181",181,2,3,1,0,3274.52175465696,3308.90280342844,5.77052405174632
"182",182,2,3,1,1,3274.52175465696,3308.90280342844,5.77052405174632
"183",183,2,3,1,2,3274.52175465696,3308.90280342844,5.77052405174632
"184",184,2,3,1,3,3274.52175465696,3308.90280342844,5.77052405174632
"185",185,2,3,2,0,3274.52175465696,3308.90280342844,5.77052405174632
"186",186,2,3,2,1,3274.52175465696,3308.90280342844,5.77052405174632
"187",187,2,3,2,2,3274.52175465696,3308.90280342844,5.77052405174632
"188",188,2,3,2,3,3274.52175465696,3308.90280342844,5.77052405174632
"189",189,2,3,3,0,3274.52175465696,3308.90280342844,5.77052405174632
"190",190,2,3,3,1,3274.52175465696,3308.90280342844,5.77052405174632
"191",191,2,3,3,2,3274.52175465696,3308.90280342844,5.77052405174632
"192",192,2,3,3,3,3274.52175465696,3308.90280342844,5.77052405174632
"225",225,3,2,0,0,3290.1323146987,3324.51336347018,5.51637401638861
"226",226,3,2,0,1,3290.1323146987,3324.51336347018,5.51637401638861
"227",227,3,2,0,2,3290.1323146987,3324.51336347018,5.51637401638861
"228",228,3,2,0,3,3290.1323146987,3324.51336347018,5.51637401638861
"229",229,3,2,1,0,3290.1323146987,3324.51336347018,5.51637401638861
"230",230,3,2,1,1,3290.1323146987,3324.51336347018,5.51637401638861
"231",231,3,2,1,2,3290.1323146987,3324.51336347018,5.51637401638861
"232",232,3,2,1,3,3290.1323146987,3324.51336347018,5.51637401638861
"233",233,3,2,2,0,3290.1323146987,3324.51336347018,5.51637401638861
"234",234,3,2,2,1,3290.1323146987,3324.51336347018,5.51637401638861
"235",235,3,2,2,2,3290.1323146987,3324.51336347018,5.51637401638861
